Sigla_Distribuidora,Estado,Grupo_Distribuidora,Grupo_Empresarial,Resumo temas,VlrPenalidade,NumAutoInfracao,Flag_Distribuidora,VlrMercado,DscTipoPenalidade,AnoLavratura,VlrMultaAposJuizo
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,81745.17,0003/2019-SFG,Não Distribuidora,, Multa,2019,81745.17
Energisa MT,MT,Energisa,Energisa,Qualidade,6375078.32,0003/2020-AGER/ MT-SFE,Distribuidora,1713620, Multa,2020,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,35227.95,0003/2020-AGERGS-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,Empreendimentos de Transmissão,470615.37,0003/2020-SFE,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0003/2020-SFF,Não Distribuidora,, Advertência,2020,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,22950.36,0003/2020-SFG,Não Distribuidora,, Multa,2020,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,0.0,0003/2021-AGERGS-SFG,Não Distribuidora,, Advertência,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,0.0,0003/2021-ARCE-SFG,Não Distribuidora,, Advertência,2021,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,45375.77,0003/2021-ARPE-SFG,Não Distribuidora,, Multa,2021,45375.77
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,0.0,0003/2021-ARSEP-SFG,Não Distribuidora,, Advertência,2021,0.0
,,,Não mapeado,Obras de Transmissão,183063.97,0003/2021-SFE,Não Distribuidora,, Multa,2021,183063.97
,,,Não mapeado,Apoio ao Processo Decisório e Conformidade Regulatória,0.0,0003/2021-SFF,Não Distribuidora,, Advertência,2021,0.0
,,,Não mapeado,1.01.01 - Procedimento da Fase Pré-Obras,1491618.69,0003/2021-SFG,Não Distribuidora,, Multa,2021,0.0
RGE,RS,CPFL,CPFL,Comercial,66307997.63,0003/2022-AGERGS-SFE,Distribuidora,3179975, Multa,2022,0.0
,,,Não mapeado,1.02.05 - Procedimento Segurança de Barragens,39207.47,0003/2022-AGERGS-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.04 - Procedimento Desempenho Eólicas e Fotovoltaicas,95467.03,0003/2022-ARCE-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,61364.01,0003/2022-ARPE-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.01.02 - Procedimento da Fase Obras,42248.19,0003/2022-ARSEP-SFG,Não Distribuidora,, Multa,2022,0.0
,,,Não mapeado,1.02.15 - Demais Obrigações Normativas,,0003/2022-ARSESP-SFG,Não Distribuidora,,,2022,0.0
